Feature,Importance,model
feature_70,7.061003921675168e-05,Video Injection_feature_importance_1.0_100
feature_39,6.854037385936685e-05,Video Injection_feature_importance_1.0_100
feature_3,6.118071078279702e-05,Video Injection_feature_importance_1.0_100
feature_2,6.066527805710979e-05,Video Injection_feature_importance_1.0_100
feature_17,5.419274654619016e-05,Video Injection_feature_importance_1.0_100
feature_6,5.4127573358069e-05,Video Injection_feature_importance_1.0_100
feature_42,5.371552332394331e-05,Video Injection_feature_importance_1.0_100
feature_5,5.122605141521139e-05,Video Injection_feature_importance_1.0_100
feature_21,4.66291151730431e-05,Video Injection_feature_importance_1.0_100
feature_20,4.378284906427026e-05,Video Injection_feature_importance_1.0_100
feature_71,4.318234269980634e-05,Video Injection_feature_importance_1.0_100
feature_36,3.3005199943933324e-05,Video Injection_feature_importance_1.0_100
feature_35,3.077255851002117e-05,Video Injection_feature_importance_1.0_100
feature_40,3.0096854074482206e-05,Video Injection_feature_importance_1.0_100
feature_92,2.686842382210201e-05,Video Injection_feature_importance_1.0_100
feature_67,2.6775409177036956e-05,Video Injection_feature_importance_1.0_100
feature_18,2.3639606552005523e-05,Video Injection_feature_importance_1.0_100
feature_68,4.669362278267895e-06,Video Injection_feature_importance_1.0_100
feature_87,3.891111099115305e-07,Video Injection_feature_importance_1.0_100
feature_101,0.0,Video Injection_feature_importance_1.0_100
feature_100,0.0,Video Injection_feature_importance_1.0_100
feature_107,0.0,Video Injection_feature_importance_1.0_100
feature_94,0.0,Video Injection_feature_importance_1.0_100
feature_93,0.0,Video Injection_feature_importance_1.0_100
feature_108,0.0,Video Injection_feature_importance_1.0_100
feature_86,0.0,Video Injection_feature_importance_1.0_100
feature_114,0.0,Video Injection_feature_importance_1.0_100
feature_115,0.0,Video Injection_feature_importance_1.0_100
feature_84,0.2048816627694903,OS Scan_feature_importance_1.0_100
feature_105,0.1693565073666322,OS Scan_feature_importance_1.0_100
feature_91,0.1314642379224796,OS Scan_feature_importance_1.0_100
feature_98,0.1048989403960714,OS Scan_feature_importance_1.0_100
feature_112,0.0906536356179119,OS Scan_feature_importance_1.0_100
feature_55,0.0383803343058593,OS Scan_feature_importance_1.0_100
feature_63,0.0336247682327313,OS Scan_feature_importance_1.0_100
feature_35,0.031196981115922,OS Scan_feature_importance_1.0_100
feature_62,0.0240456307069386,OS Scan_feature_importance_1.0_100
feature_34,0.0240320892211279,OS Scan_feature_importance_1.0_100
feature_42,0.023946968456578,OS Scan_feature_importance_1.0_100
feature_99,0.019101868506213,OS Scan_feature_importance_1.0_100
feature_41,0.0144587138436577,OS Scan_feature_importance_1.0_100
feature_109,0.0144338972043895,OS Scan_feature_importance_1.0_100
feature_48,0.0144284761764171,OS Scan_feature_importance_1.0_100
feature_56,0.0096270082638682,OS Scan_feature_importance_1.0_100
feature_49,0.0096227739094776,OS Scan_feature_importance_1.0_100
feature_16,0.0095907580688956,OS Scan_feature_importance_1.0_100
feature_31,0.0095768751339551,OS Scan_feature_importance_1.0_100
feature_95,0.0049148685482709,OS Scan_feature_importance_1.0_100
feature_102,0.0048370500067515,OS Scan_feature_importance_1.0_100
feature_38,0.004833543058317,OS Scan_feature_importance_1.0_100
feature_10,0.0034165046020776,OS Scan_feature_importance_1.0_100
feature_28,0.0023780756818908,OS Scan_feature_importance_1.0_100
feature_71,0.0013098078398405,OS Scan_feature_importance_1.0_100
feature_14,5.3825806362730827e-05,OS Scan_feature_importance_1.0_100
feature_4,5.367747427424822e-05,OS Scan_feature_importance_1.0_100
feature_1,4.4210433537796576e-05,OS Scan_feature_importance_1.0_100
feature_22,4.231063066379592e-05,OS Scan_feature_importance_1.0_100
feature_15,4.18129131352437e-05,OS Scan_feature_importance_1.0_100
feature_5,3.849378655088306e-05,OS Scan_feature_importance_1.0_100
feature_19,3.639123615974955e-05,OS Scan_feature_importance_1.0_100
feature_66,3.3254868778745766e-05,OS Scan_feature_importance_1.0_100
feature_3,3.228504084474784e-05,OS Scan_feature_importance_1.0_100
feature_69,3.143300332412809e-05,OS Scan_feature_importance_1.0_100
feature_12,2.6673526424319768e-05,OS Scan_feature_importance_1.0_100
feature_27,2.4399051317195767e-05,OS Scan_feature_importance_1.0_100
feature_30,2.297119359298108e-05,OS Scan_feature_importance_1.0_100
feature_25,2.001644439326003e-05,OS Scan_feature_importance_1.0_100
feature_60,1.9031707821770337e-05,OS Scan_feature_importance_1.0_100
feature_67,1.837237393851108e-05,OS Scan_feature_importance_1.0_100
feature_72,1.7918152758954893e-05,OS Scan_feature_importance_1.0_100
feature_11,1.7837117509715644e-05,OS Scan_feature_importance_1.0_100
feature_78,1.576308989667326e-05,OS Scan_feature_importance_1.0_100
feature_46,1.5545449305342983e-05,OS Scan_feature_importance_1.0_100
feature_45,1.532964052987111e-05,OS Scan_feature_importance_1.0_100
feature_88,1.49741884423118e-05,OS Scan_feature_importance_1.0_100
feature_70,1.454702276998206e-05,OS Scan_feature_importance_1.0_100
feature_59,1.429809961817836e-05,OS Scan_feature_importance_1.0_100
feature_20,1.4218235709320042e-05,OS Scan_feature_importance_1.0_100
feature_53,1.4122672575734382e-05,OS Scan_feature_importance_1.0_100
feature_13,1.3950773835119197e-05,OS Scan_feature_importance_1.0_100
feature_7,1.3789658889401267e-05,OS Scan_feature_importance_1.0_100
feature_96,1.2638608486955916e-05,OS Scan_feature_importance_1.0_100
feature_89,1.2448249606522915e-05,OS Scan_feature_importance_1.0_100
feature_113,1.211466040429399e-05,OS Scan_feature_importance_1.0_100
feature_29,1.183448417743976e-05,OS Scan_feature_importance_1.0_100
feature_81,1.181197164583011e-05,OS Scan_feature_importance_1.0_100
feature_8,1.1598074309823189e-05,OS Scan_feature_importance_1.0_100
feature_58,1.0494119137788576e-05,OS Scan_feature_importance_1.0_100
feature_80,1.0395192979096258e-05,OS Scan_feature_importance_1.0_100
feature_24,1.0068993329392631e-05,OS Scan_feature_importance_1.0_100
feature_6,1.000127458720639e-05,OS Scan_feature_importance_1.0_100
feature_106,9.309155358300896e-06,OS Scan_feature_importance_1.0_100
feature_26,8.03678860654472e-06,OS Scan_feature_importance_1.0_100
feature_74,7.674498037688301e-06,OS Scan_feature_importance_1.0_100
feature_23,6.84213668941845e-06,OS Scan_feature_importance_1.0_100
feature_75,6.387529261294874e-06,OS Scan_feature_importance_1.0_100
feature_52,6.160571525876294e-06,OS Scan_feature_importance_1.0_100
feature_77,5.993229144270218e-06,OS Scan_feature_importance_1.0_100
feature_79,5.949637466719929e-06,OS Scan_feature_importance_1.0_100
feature_68,5.591959884802439e-06,OS Scan_feature_importance_1.0_100
feature_64,5.425977581008201e-06,OS Scan_feature_importance_1.0_100
feature_85,5.346542665193187e-06,OS Scan_feature_importance_1.0_100
feature_57,5.106330962698438e-06,OS Scan_feature_importance_1.0_100
feature_103,4.821721635804209e-06,OS Scan_feature_importance_1.0_100
feature_21,4.704228529410708e-06,OS Scan_feature_importance_1.0_100
feature_40,4.467547286876835e-06,OS Scan_feature_importance_1.0_100
