Feature,mean_importance
feature_1,0.04562727065523292
feature_15,0.044411842221762095
feature_80,0.03867495664309311
feature_78,0.03713144553746549
feature_13,0.03323463412864545
feature_109,0.03176129896043961
feature_65,0.03102153563118518
feature_14,0.028893893984215477
feature_112,0.028806930859452465
feature_28,0.02866911192504865
