Attack,Fraction,Estimators,Accuracy,TP,TN,FP,FN,ROC AUC,Precision,Recall,F1-Score
SSDP Flood,0.75,50,0.9999978198902316,324231,593152,0,2,1.0,0.9999978198975824,0.9999978198902316,0.9999978198887072
SSDP Flood,0.75,100,0.9999978198902316,324231,593152,0,2,1.0,0.9999978198975824,0.9999978198902316,0.9999978198887072
SSDP Flood,1.0,30,0.9999983649176736,431741,791437,0,2,1.0,0.9999983649218056,0.9999983649176736,0.999998364916813
SSDP Flood,1.0,50,0.9999983649176736,431741,791437,0,2,1.0,0.9999983649218056,0.9999983649176736,0.999998364916813
SSDP Flood,1.0,100,0.9999983649176736,431741,791437,0,2,1.0,0.9999983649218056,0.9999983649176736,0.999998364916813
SYN DoS,0.1,30,0.9999759439011776,195,82942,0,2,0.9999984087712446,0.999975944481234,0.9999759439011776,0.9999758826785944
SYN DoS,0.1,50,0.9999759439011776,195,82942,0,2,0.9999986229751155,0.999975944481234,0.9999759439011776,0.9999758826785944
SYN DoS,0.1,100,0.9999759439011776,195,82942,0,2,0.9999993573883872,0.999975944481234,0.9999759439011776,0.9999758826785944
SYN DoS,0.25,30,0.9999663212185944,512,207327,2,5,0.9999997107914702,0.999966265404174,0.9999663212185944,0.9999662723412276
SYN DoS,0.25,50,0.9999759437275676,513,207328,1,4,0.9999997854259296,0.9999759159247824,0.9999759437275676,0.9999759088151626
SYN DoS,0.25,100,0.999971132473081,513,207327,2,4,0.9999998134138516,0.9999710952897596,0.999971132473081,0.9999711045702886
SYN DoS,0.5,30,0.9999975943727568,1022,414669,0,1,0.9999999917492992,0.999997594378558,0.9999975943727568,0.999997593786034
SYN DoS,0.5,50,0.9999975943727568,1022,414669,0,1,0.999999989391956,0.999997594378558,0.9999975943727568,0.999997593786034
SYN DoS,0.5,100,0.9999975943727568,1022,414669,0,1,0.9999999905706276,0.999997594378558,0.9999975943727568,0.999997593786034
SYN DoS,0.75,30,0.9999951887455136,1551,621984,0,3,0.9999999984481096,0.9999951887687194,0.9999951887455136,0.9999951864270374
SYN DoS,0.75,50,0.9999951887455136,1551,621984,0,3,1.0,0.9999951887687194,0.9999951887455136,0.9999951864270374
SYN DoS,0.75,100,0.9999951887455136,1551,621984,0,3,0.9999999989654064,0.9999951887687194,0.9999951887455136,0.9999951864270374
SYN DoS,1.0,30,0.9999987971849316,2076,829306,0,1,0.9999999994194378,0.999998797186382,0.9999987971849316,0.9999987970404816
SYN DoS,1.0,50,0.9999987971849316,2076,829306,0,1,1.0,0.999998797186382,0.9999987971849316,0.9999987970404816
SYN DoS,1.0,100,0.9999975943698632,2075,829306,0,2,1.0,0.9999975943756648,0.9999975943698632,0.999997593791923
SSL Renegotiation,0.1,30,0.9999698012925048,2786,63440,0,2,0.9999999858653824,0.9999698022445148,0.9999698012925048,0.9999697961127306
SSL Renegotiation,0.1,50,0.9999698012925048,2787,63439,1,1,0.9999999830384588,0.9999698012925048,0.9999698012925048,0.9999698012925048
SSL Renegotiation,0.1,100,0.9999698012925048,2787,63439,1,1,0.9999999830384588,0.9999698012925048,0.9999698012925048,0.9999698012925048
SSL Renegotiation,0.25,30,0.9999818805566292,6869,158696,2,1,0.9999999692732509,0.9999818822766304,0.9999818805566292,0.9999818811874056
SSL Renegotiation,0.25,50,0.9999818805566292,6869,158696,2,1,0.9999999756937656,0.9999818822766304,0.9999818805566292,0.9999818811874056
SSL Renegotiation,0.25,100,0.9999818805566292,6869,158696,2,1,0.9999999729421164,0.9999818822766304,0.9999818805566292,0.9999818811874056
SSL Renegotiation,0.5,30,0.9999909402783148,13937,317196,2,1,0.9999999984166856,0.9999909407020974,0.9999909402783148,0.9999909404336688
SSL Renegotiation,0.5,50,0.9999939601855432,13938,317196,2,0,0.9999999984166856,0.9999939610520876,0.9999939601855432,0.9999939603926744
SSL Renegotiation,0.5,100,0.9999909402783148,13937,317196,2,1,0.9999999976250284,0.9999909407020974,0.9999909402783148,0.9999909404336688
SSL Renegotiation,0.75,30,0.9999939601855432,20577,476124,1,2,0.9999999924475742,0.9999939600961638,0.9999939601855432,0.9999939601153393
SSL Renegotiation,0.75,50,0.9999939601855432,20577,476124,1,2,0.9999999899981388,0.9999939600961638,0.9999939601855432,0.9999939601153393
SSL Renegotiation,0.75,100,0.9999939601855432,20577,476124,1,2,0.9999999913759462,0.9999939600961638,0.9999939601855432,0.9999939601153393
SSL Renegotiation,1.0,30,0.9999954701391572,27654,634615,2,1,0.9999992082486472,0.9999954702459734,0.9999954701391572,0.999995470178322
SSL Renegotiation,1.0,50,0.9999954701391572,27655,634614,3,0,0.9999992070520888,0.999995470630501,0.9999954701391572,0.9999954702566464
