Feature,Importance,model
feature_18,2.147777568584308e-05,Video Injection_feature_importance_0.1_30
feature_35,1.1442577959025318e-05,Video Injection_feature_importance_0.1_30
feature_70,4.884206523190083e-06,Video Injection_feature_importance_0.1_30
feature_114,0.0,Video Injection_feature_importance_0.1_30
feature_71,0.0,Video Injection_feature_importance_0.1_30
feature_108,0.0,Video Injection_feature_importance_0.1_30
feature_74,0.0,Video Injection_feature_importance_0.1_30
feature_86,0.0,Video Injection_feature_importance_0.1_30
feature_107,0.0,Video Injection_feature_importance_0.1_30
feature_101,0.0,Video Injection_feature_importance_0.1_30
feature_100,0.0,Video Injection_feature_importance_0.1_30
feature_87,0.0,Video Injection_feature_importance_0.1_30
feature_94,0.0,Video Injection_feature_importance_0.1_30
feature_93,0.0,Video Injection_feature_importance_0.1_30
feature_68,0.0,Video Injection_feature_importance_0.1_30
feature_115,0.0,Video Injection_feature_importance_0.1_30
feature_102,0.0937179767808885,Video Injection_feature_importance_0.1_50
feature_29,0.0697048671678647,Video Injection_feature_importance_0.1_50
feature_78,0.0625558971357264,Video Injection_feature_importance_0.1_50
feature_10,0.0591583001447672,Video Injection_feature_importance_0.1_50
feature_13,0.0482471913866513,Video Injection_feature_importance_0.1_50
feature_80,0.043478817566946,Video Injection_feature_importance_0.1_50
feature_59,0.0420196520382209,Video Injection_feature_importance_0.1_50
feature_75,0.0372189285839407,Video Injection_feature_importance_0.1_50
feature_62,0.0339057738174916,Video Injection_feature_importance_0.1_50
feature_30,0.0310339936093395,Video Injection_feature_importance_0.1_50
feature_15,0.030886045966261,Video Injection_feature_importance_0.1_50
feature_28,0.0302446080020068,Video Injection_feature_importance_0.1_50
feature_79,0.0282060934423045,Video Injection_feature_importance_0.1_50
feature_60,0.0277949195228358,Video Injection_feature_importance_0.1_50
feature_14,0.0266743865212401,Video Injection_feature_importance_0.1_50
feature_112,0.0251808785447067,Video Injection_feature_importance_0.1_50
feature_7,0.0249218880002447,Video Injection_feature_importance_0.1_50
feature_109,0.0234248286955951,Video Injection_feature_importance_0.1_50
feature_61,0.0209128041659943,Video Injection_feature_importance_0.1_50
feature_72,0.0197719541686743,Video Injection_feature_importance_0.1_50
feature_52,0.0184006351038899,Video Injection_feature_importance_0.1_50
feature_65,0.0171542569213646,Video Injection_feature_importance_0.1_50
feature_64,0.0170402563013447,Video Injection_feature_importance_0.1_50
feature_55,0.0156976096116795,Video Injection_feature_importance_0.1_50
feature_63,0.0155326646215736,Video Injection_feature_importance_0.1_50
feature_25,0.0155104483072077,Video Injection_feature_importance_0.1_50
feature_110,0.0116641320108035,Video Injection_feature_importance_0.1_50
feature_111,0.0114291398941729,Video Injection_feature_importance_0.1_50
feature_104,0.0103970009018512,Video Injection_feature_importance_0.1_50
feature_95,0.0079082794533651,Video Injection_feature_importance_0.1_50
feature_113,0.0075799877840828,Video Injection_feature_importance_0.1_50
feature_45,0.0062474635016682,Video Injection_feature_importance_0.1_50
feature_88,0.0048754201394722,Video Injection_feature_importance_0.1_50
feature_77,0.0048128089668441,Video Injection_feature_importance_0.1_50
feature_19,0.0045630353025807,Video Injection_feature_importance_0.1_50
feature_54,0.0041474894252808,Video Injection_feature_importance_0.1_50
feature_12,0.0041218426741912,Video Injection_feature_importance_0.1_50
feature_56,0.0037093969413394,Video Injection_feature_importance_0.1_50
feature_106,0.003619755561343,Video Injection_feature_importance_0.1_50
feature_22,0.0035859919283538,Video Injection_feature_importance_0.1_50
feature_69,0.0026852621665469,Video Injection_feature_importance_0.1_50
feature_73,0.0024660806851842,Video Injection_feature_importance_0.1_50
feature_38,0.0022396786405904,Video Injection_feature_importance_0.1_50
feature_103,0.0021890304902439,Video Injection_feature_importance_0.1_50
feature_16,0.0020884214497615,Video Injection_feature_importance_0.1_50
feature_31,0.0019125194874493,Video Injection_feature_importance_0.1_50
feature_105,0.0015912631266275,Video Injection_feature_importance_0.1_50
feature_1,0.0013428028584919,Video Injection_feature_importance_0.1_50
feature_57,0.0012645612833426,Video Injection_feature_importance_0.1_50
feature_27,0.0012518148873393,Video Injection_feature_importance_0.1_50
feature_11,0.001161743190923,Video Injection_feature_importance_0.1_50
feature_66,0.0008273284122396,Video Injection_feature_importance_0.1_50
feature_98,0.0006466887049217,Video Injection_feature_importance_0.1_50
feature_58,0.0006385258942393,Video Injection_feature_importance_0.1_50
feature_76,0.0005929729065601,Video Injection_feature_importance_0.1_50
feature_96,0.0005234909019862,Video Injection_feature_importance_0.1_50
feature_82,0.0004857355242017,Video Injection_feature_importance_0.1_50
feature_26,0.000474186070797,Video Injection_feature_importance_0.1_50
feature_44,0.0004642180902201,Video Injection_feature_importance_0.1_50
feature_53,0.0004615010480516,Video Injection_feature_importance_0.1_50
feature_4,0.00044694810235,Video Injection_feature_importance_0.1_50
feature_50,0.0004258237976141,Video Injection_feature_importance_0.1_50
feature_70,0.0004250432570224,Video Injection_feature_importance_0.1_50
feature_34,0.0004032862284642,Video Injection_feature_importance_0.1_50
feature_9,0.0003717130552263,Video Injection_feature_importance_0.1_50
feature_37,0.0003318755035734,Video Injection_feature_importance_0.1_50
feature_48,0.0003308084166114,Video Injection_feature_importance_0.1_50
feature_51,0.0002899577089485,Video Injection_feature_importance_0.1_50
feature_49,0.0002893390550885,Video Injection_feature_importance_0.1_50
feature_91,0.0002667790913573,Video Injection_feature_importance_0.1_50
feature_97,0.000262359528928,Video Injection_feature_importance_0.1_50
feature_2,0.0002531514885554,Video Injection_feature_importance_0.1_50
feature_8,0.0002452208054381,Video Injection_feature_importance_0.1_50
feature_47,0.0002429666619864,Video Injection_feature_importance_0.1_50
feature_84,0.00023008110843,Video Injection_feature_importance_0.1_50
feature_89,0.0002190965039754,Video Injection_feature_importance_0.1_50
feature_90,0.0002176666267523,Video Injection_feature_importance_0.1_50
feature_46,0.00021411412631,Video Injection_feature_importance_0.1_50
feature_6,0.0002012563492334,Video Injection_feature_importance_0.1_50
feature_99,0.0001827605821715,Video Injection_feature_importance_0.1_50
feature_24,0.0001454734265251,Video Injection_feature_importance_0.1_50
feature_83,0.0001401346753617,Video Injection_feature_importance_0.1_50
