Feature,Importance
feature_13,0.18658977605688165
feature_78,0.09552988191458234
feature_80,0.09316887649056142
feature_109,0.07154315313262608
feature_15,0.05787413751877139
feature_59,0.04439267758619738
feature_79,0.04279016586471073
feature_49,0.03765827016126769
feature_28,0.03629830083737011
feature_60,0.03022848555494136
feature_27,0.02223319964297146
feature_8,0.020135764485761598
feature_29,0.01931249586234135
feature_30,0.018066362416555744
feature_12,0.014046379919413788
feature_61,0.013150218591015624
feature_63,0.013120651255691788
feature_54,0.012878706719733388
feature_53,0.011944637099327738
feature_56,0.011675788760028196
feature_62,0.01089149948765711
feature_24,0.010276572631271758
feature_9,0.010167425504246121
feature_6,0.009767295784870504
feature_47,0.009512318946788502
feature_55,0.009341981580761733
feature_11,0.009245638842800316
feature_42,0.009015616121748098
feature_14,0.00859253091510982
feature_113,0.00713685552047429
feature_112,0.006675703538350106
feature_110,0.005878536211869124
feature_76,0.003787956498614795
feature_25,0.0034711115153430497
feature_64,0.0025498162178649465
feature_58,0.002495663040886963
feature_111,0.0021953014597500898
feature_65,0.002138621733574499
feature_104,0.0019558846961920673
feature_102,0.0017415137286391359
feature_5,0.0016294045620629505
feature_52,0.0015145741192024557
feature_48,0.0014543439158566421
feature_2,0.0014029482662413072
feature_77,0.0012795852523428378
feature_57,0.0011555460608408204
feature_10,0.0011001777430751404
feature_26,0.0010286457700951386
feature_105,0.000982102017364399
feature_4,0.0009233919751543571
feature_41,0.0008740442434092152
feature_45,0.0008486098311100499
feature_20,0.0007611131163249234
feature_33,0.0007209368422175559
feature_16,0.0006369776304764487
feature_106,0.0006146833100599232
feature_103,0.0004091160984727902
feature_23,0.0003905237058379389
feature_95,0.0003456798410016603
feature_22,0.0003442193223486617
feature_96,0.00024832183077899803
feature_72,0.00023658537367301992
feature_66,0.00015771483248871285
feature_46,0.00014343572063287761
feature_74,0.00011464804530893738
feature_97,0.00010535945218709944
feature_75,9.88264572835028e-05
feature_69,9.141816827614895e-05
feature_39,8.235310393076733e-05
feature_19,7.467544862433443e-05
feature_83,7.349370874630977e-05
feature_98,6.427697311342635e-05
feature_32,5.81287676757029e-05
feature_7,5.350865771689717e-05
feature_17,4.4272746577155693e-05
feature_50,4.352848581422157e-05
feature_31,4.3003850186492186e-05
feature_21,2.8242704765837576e-05
feature_37,2.7611745617418072e-05
feature_82,2.655497382277762e-05
feature_43,2.354733605702515e-05
feature_44,2.125330281606731e-05
feature_40,2.016616089415033e-05
feature_90,1.9236020240156343e-05
feature_36,1.660524113026603e-05
feature_1,1.6540063209337145e-05
feature_68,1.5709291199906685e-05
feature_81,1.561919683395819e-05
feature_35,1.4655191838880538e-05
feature_38,1.4425471294741645e-05
feature_34,1.2850004639040222e-05
feature_51,1.2589599682658638e-05
feature_84,1.202195654722465e-05
feature_91,1.1725436515498393e-05
feature_85,1.0530992365090936e-05
feature_70,9.524854194894902e-06
feature_18,8.584123261326403e-06
feature_89,8.158899912287247e-06
feature_92,7.462071263100356e-06
feature_67,5.813030489185344e-06
feature_99,4.8538750285207515e-06
feature_88,4.780438873873298e-06
feature_3,3.6202670351323237e-06
feature_73,1.3686563980491833e-06
feature_107,0.0
feature_108,0.0
feature_101,0.0
feature_100,0.0
feature_86,0.0
feature_94,0.0
feature_93,0.0
feature_87,0.0
feature_71,0.0
feature_114,0.0
feature_115,0.0
