Feature,Importance
feature_1,0.32489974428343676
feature_14,0.06750569222985801
feature_12,0.04549463530900149
feature_15,0.044351330609204105
feature_30,0.04404654646049396
feature_29,0.03971004317662024
feature_26,0.0362507263037404
feature_27,0.03612289150444067
feature_2,0.03428159755280478
feature_11,0.030607130113097767
feature_20,0.02299695375750303
feature_18,0.02170673631359701
feature_81,0.020072432945148995
feature_47,0.019552418260401713
feature_5,0.01818597026140001
feature_80,0.013868288888407077
feature_9,0.01324709836062045
feature_24,0.012675189752648927
feature_61,0.01185028386439844
feature_82,0.011219085028878806
feature_31,0.010983869510904798
feature_110,0.007136643041524669
feature_23,0.007127343600624599
feature_16,0.006807975687408697
feature_6,0.006392867039759412
feature_21,0.006289195872051164
feature_54,0.005998770894297265
feature_89,0.005882022975998004
feature_79,0.004944465048725641
feature_83,0.004748773393632737
feature_13,0.0036591241439657817
feature_60,0.003656649476453109
feature_63,0.0025230130421467116
feature_62,0.0024199585857083887
feature_64,0.0023078201302388418
feature_103,0.0022716580965243933
feature_28,0.0022646902826612475
feature_65,0.0021200215156327723
feature_53,0.0018931081690027893
feature_8,0.0018550371064133652
feature_76,0.0017368453352817816
feature_25,0.0017327114837021678
feature_17,0.001595886825531713
feature_56,0.001553004209264356
feature_66,0.0015352999087930271
feature_49,0.001340241551410816
feature_59,0.00132647624801949
feature_10,0.0012357523510234808
feature_113,0.001191561091878258
feature_46,0.0011656998234154997
feature_57,0.0011162414396019337
feature_73,0.0011046753417975194
feature_55,0.000992302762188455
feature_4,0.0009859373726106057
feature_70,0.0009784607243423261
feature_67,0.0009283190947264667
feature_96,0.0008830602596523515
feature_85,0.0008745854587228531
feature_22,0.0008575300260118315
feature_32,0.0008500999954932845
feature_106,0.0008400254954984822
feature_39,0.000814563386945987
feature_3,0.0008093093060064192
feature_7,0.0007845682141265528
feature_48,0.0007829924252365824
feature_99,0.000768766946827227
feature_35,0.0006762390540538464
feature_19,0.0006655256612011049
feature_42,0.0006236091375642722
feature_92,0.000593328018179267
feature_41,0.0004971517494582208
feature_50,0.00047546355435559097
feature_90,0.0004517351139822495
feature_40,0.00043991194500122335
feature_58,0.0004328344514720106
feature_105,0.0004323657829047149
feature_112,0.00042147761318297035
feature_52,0.00039965942429391046
feature_97,0.00034664937430571097
feature_36,0.00033713943209725015
feature_34,0.0003326537939006886
feature_77,0.00029232041038277273
feature_84,0.000287019643544375
feature_114,0.0002821699868621402
feature_33,0.00028122513316677927
feature_43,0.0002809339701302903
feature_98,0.0002722407118444114
feature_91,0.00021602405114847818
feature_104,0.00021480151268588168
feature_93,0.00018582024541274176
feature_51,0.00016724864045768184
feature_107,0.00016641331444850388
feature_37,0.0001619912182194547
feature_38,0.0001609454238861328
feature_45,0.00015637453394252355
feature_78,0.00014980395962063017
feature_111,0.000146299238533363
feature_44,0.00011617436785986734
feature_74,8.655108937179691e-05
feature_109,7.672504040390006e-05
feature_68,7.044546001885467e-05
feature_86,5.3964212872867615e-05
feature_71,5.274787114820124e-05
feature_115,4.885324003778751e-05
feature_116,3.3241427645426424e-05
feature_108,3.174828218015014e-05
feature_88,3.1545721598576645e-05
feature_100,2.8483129857076323e-05
feature_95,2.500283316906312e-05
feature_87,2.4466271492964885e-05
feature_94,2.126777195091159e-05
feature_102,1.6753157320458165e-05
feature_101,1.0558685985853579e-05
feature_72,8.960342604054465e-06
feature_69,1.2375523267653632e-06
feature_75,1.1777744297599119e-06
