Feature,Importance
feature_109,0.13160231446725154
feature_28,0.11734799089927493
feature_59,0.11368008187189882
feature_78,0.0909704075921188
feature_80,0.08326964580311949
feature_64,0.06838987401354649
feature_13,0.059804160682183194
feature_65,0.051200317010992924
feature_79,0.04097029164701342
feature_15,0.01882792659047641
feature_60,0.018089267489354993
feature_62,0.014528508352772355
feature_14,0.013302993632756907
feature_57,0.012444525399183268
feature_61,0.011645735928995237
feature_63,0.011264079542758241
feature_29,0.00988086318832728
feature_112,0.009371021890316038
feature_58,0.007102849258300396
feature_102,0.007074580359157349
feature_30,0.0068498429656506585
feature_110,0.0063173548919486355
feature_25,0.006029369047376597
feature_11,0.0055889937671334145
feature_53,0.005136370266366327
feature_77,0.004882107877786649
feature_24,0.004874814300946633
feature_54,0.004761065837640651
feature_26,0.0046751070533074795
feature_113,0.004277092795690893
feature_52,0.004216981753231508
feature_47,0.004070245265240218
feature_48,0.004030313881103275
feature_23,0.0035903925330337243
feature_111,0.003348486248623096
feature_10,0.0031398734082181815
feature_12,0.003018367611691236
feature_4,0.00297010789699051
feature_49,0.002280179875806383
feature_55,0.002161458704103332
feature_38,0.0017860389113808263
feature_56,0.0016913287809206061
feature_75,0.001571553318837773
feature_76,0.001508022202072692
feature_115,0.001486823854119969
feature_72,0.0012020710744014421
feature_8,0.0010755391403174572
feature_22,0.0008969202283365577
feature_27,0.0008619959668202824
feature_19,0.0008364261692141956
feature_17,0.0008102596498725677
feature_9,0.0007673262512996321
feature_31,0.0007500460777754778
feature_103,0.0006874332786963005
feature_7,0.000608228885539828
feature_69,0.0006045702723510868
feature_46,0.0005610126506072586
feature_16,0.0005135390966222299
feature_99,0.00048435587322422015
feature_89,0.00045656420442320017
feature_20,0.0004432435734184358
feature_39,0.000422146862967564
feature_96,0.0003887241441289967
feature_106,0.00026069658994492265
feature_41,0.000240068058819248
feature_1,0.00019042697331147669
feature_5,0.00018648640187462657
feature_105,0.000177744182172311
feature_91,0.0001715059606147061
feature_73,0.00015929139771726902
feature_50,0.0001565539465180061
feature_104,0.00011073338497351304
feature_98,0.00010246101768151171
feature_51,9.62440422994703e-05
feature_83,7.099760860166475e-05
feature_34,6.39323081912871e-05
feature_43,4.792451670843123e-05
feature_40,4.620896525545454e-05
feature_45,4.574777065172849e-05
feature_32,4.438337735234957e-05
feature_95,4.317115348389142e-05
feature_74,4.274858329480049e-05
feature_88,3.173474267288532e-05
feature_97,2.7537805502927184e-05
feature_36,2.529414170713182e-05
feature_33,2.185487875186295e-05
feature_44,2.0710292507668667e-05
feature_2,1.883890785458591e-05
feature_35,1.8091214171759527e-05
feature_101,1.623358264016709e-05
feature_21,1.3936792894199535e-05
feature_37,1.3889270004562295e-05
feature_82,1.3616420884979234e-05
feature_108,1.307496059657206e-05
feature_3,1.3041522093854194e-05
feature_42,1.266669804470157e-05
feature_92,1.2579944766177532e-05
feature_90,1.0215011103786913e-05
feature_18,9.446746268601013e-06
feature_81,7.318280677708453e-06
feature_6,7.038543445614391e-06
feature_84,6.925842325602444e-06
feature_100,5.617806931264895e-06
feature_85,5.267805030322056e-06
feature_66,3.819541422691185e-06
feature_94,3.0370883534325184e-06
feature_70,2.434532025066958e-06
feature_67,2.1997688353048605e-06
feature_93,1.7415437560955823e-06
feature_68,1.543457328762904e-06
feature_71,1.440799066734235e-06
feature_87,7.047764769377442e-07
feature_86,5.971960802299953e-07
feature_114,9.177727526362199e-08
feature_107,0.0
