Feature,Importance
feature_1,0.3055372448718115
feature_14,0.14585919604487502
feature_26,0.07756058341706885
feature_12,0.060711480516927645
feature_11,0.04024936847238899
feature_27,0.03206758975953633
feature_29,0.0294036136768534
feature_30,0.026252712958204288
feature_9,0.020684702785790522
feature_5,0.020417698799498753
feature_23,0.018953945351248305
feature_2,0.01866971317369379
feature_18,0.01830625631146799
feature_80,0.017769101778680615
feature_54,0.017430941551730465
feature_82,0.017281513891128825
feature_81,0.016735509041203453
feature_47,0.016258205615984806
feature_31,0.010724187948187967
feature_15,0.007914553045277828
feature_16,0.006485596061486358
feature_79,0.005104518649106513
feature_13,0.003673029597359996
feature_63,0.003508744791389947
feature_60,0.003367472185281479
feature_17,0.0029776267001840246
feature_110,0.0027136592689216395
feature_61,0.0025465280721991986
feature_64,0.0025004308864160067
feature_62,0.00236993745057682
feature_24,0.002194789428311699
feature_28,0.0021864655238950114
feature_8,0.0019127220574152086
feature_6,0.0018037184794358059
feature_65,0.0017880755678206298
feature_76,0.001635709565734679
feature_53,0.0015084597670878685
feature_59,0.001301845086740975
feature_46,0.0013007989825562088
feature_20,0.0012502744859172732
feature_66,0.0011490448254360573
feature_55,0.0011051455553284413
feature_67,0.0011012319600624545
feature_57,0.0010199548427371847
feature_56,0.0010148645912390695
feature_113,0.0010076145123319444
feature_49,0.0010025798693683956
feature_21,0.0009574597886388277
feature_103,0.0009524804203348634
feature_106,0.0009424722909635329
feature_42,0.0008876802714240814
feature_3,0.0008642475870712042
feature_89,0.00083821435534278
feature_25,0.0008100909722753632
feature_85,0.0007929525365012348
feature_10,0.0007486703120924814
feature_78,0.0007419757271181864
feature_39,0.0007223042576319654
feature_7,0.0007109720129763678
feature_22,0.0006855065943301775
feature_70,0.0006597696798519505
feature_73,0.0006567223958608909
feature_32,0.0006298530670238272
feature_19,0.0006288712760684306
feature_35,0.0005704786865653619
feature_48,0.0005006133644247084
feature_96,0.0004997070394226669
feature_99,0.0004348374125137508
feature_104,0.0004019084282261097
feature_36,0.0003840100081803454
feature_50,0.00036076278002922024
feature_112,0.00032849597008405794
feature_33,0.00032229538885924857
feature_40,0.00030729660694730105
feature_4,0.00030523556512508844
feature_41,0.00029951727881511093
feature_43,0.00029448932498788924
feature_92,0.00028813079105745006
feature_58,0.00028532116224406367
feature_52,0.0002602617491790746
feature_77,0.00025919026374202514
feature_34,0.00021116738575740687
feature_105,0.00019697999395778978
feature_98,0.00019541681230886824
feature_84,0.00018046178200773467
feature_111,0.00017335415653725621
feature_114,0.00017139397897022963
feature_97,0.00011666118073108206
feature_91,0.00011424942638376045
feature_90,0.0001086344150938235
feature_51,0.00010440674099143124
feature_100,8.941253939493635e-05
feature_83,8.863160577905065e-05
feature_38,6.0269594001030826e-05
feature_71,6.012139236397942e-05
feature_44,5.730187788184364e-05
feature_45,5.0785882638566086e-05
feature_68,4.676026545066525e-05
feature_74,4.443716562871562e-05
feature_37,3.7591885494224135e-05
feature_75,3.268886411033809e-05
feature_101,2.8172422564298335e-05
feature_109,2.498942462137436e-05
feature_107,2.3712772905973746e-05
feature_93,2.3293958582622983e-05
feature_108,2.029270075737421e-05
feature_88,1.9024540942429315e-05
feature_95,1.8977921901407794e-05
feature_116,1.88798426755465e-05
feature_86,1.382561125192929e-05
feature_102,6.411736651965138e-06
feature_115,4.901953751070125e-06
feature_87,3.5793567766472364e-06
feature_72,1.1171630463930062e-06
feature_69,3.4050627838889603e-07
feature_94,0.0
