Feature,Importance
feature_13,0.1165926919763252
feature_80,0.10541998145173584
feature_78,0.08012824732876282
feature_59,0.07400870456150924
feature_15,0.06409931617240838
feature_109,0.05581093444643588
feature_79,0.053321710412899424
feature_28,0.04346774018851018
feature_49,0.03768956516529755
feature_60,0.022799382669307502
feature_27,0.02208722952241385
feature_29,0.022059644586641402
feature_8,0.0219873466542473
feature_30,0.018924470260644824
feature_63,0.01833371686946166
feature_12,0.01547957509609931
feature_61,0.014315729869532235
feature_14,0.013968622816531339
feature_54,0.01347256801844449
feature_56,0.013446557005583153
feature_62,0.013115921114211936
feature_110,0.012920952666769162
feature_112,0.011762339344166196
feature_9,0.011542205315684149
feature_113,0.01152366865851827
feature_53,0.011342587752847128
feature_24,0.010178245531802759
feature_11,0.009991347376243714
feature_55,0.0099195034271533
feature_47,0.009497882218658346
feature_6,0.009180027201233378
feature_42,0.009069598256598924
feature_111,0.006323806931878033
feature_64,0.006276875536380612
feature_76,0.004791216045585024
feature_65,0.0046911621003095805
feature_26,0.0020364522830755446
feature_52,0.0016152939316585646
feature_75,0.0014821619335265422
feature_77,0.0013628912940696152
feature_41,0.001188432524620339
feature_34,0.0008836579631293143
feature_104,0.0008579137869869444
feature_1,0.000833804822707901
feature_16,0.0008074649522282082
feature_20,0.0007534174338771291
feature_102,0.0007383115480828435
feature_22,0.0006597983964086102
feature_25,0.0006224051957148096
feature_58,0.0006177971275580094
feature_33,0.000610793847919331
feature_106,0.0005592432429380178
feature_105,0.0005431118423864946
feature_10,0.0005033533493058848
feature_103,0.0004458211807995479
feature_57,0.000443485962774076
feature_66,0.0002555927682404842
feature_74,0.0001862796240311222
feature_7,0.00018557431375457585
feature_45,0.0001838401193741483
feature_73,0.00017039485086965737
feature_23,0.00014710897780680266
feature_72,0.00014317600537075686
feature_19,0.00012878482399809228
feature_67,9.240271761337686e-05
feature_4,8.368194007632432e-05
feature_31,8.262260808082155e-05
feature_46,7.910383999413963e-05
feature_3,7.817082839997506e-05
feature_95,7.470214760015031e-05
feature_96,7.351879909417136e-05
feature_38,6.24705769784109e-05
feature_84,5.972593041587481e-05
feature_92,5.9015589140565254e-05
feature_69,5.719518599936447e-05
feature_39,5.3042890568765113e-05
feature_51,4.9114310006320376e-05
feature_98,4.486649242780517e-05
feature_50,3.9182995018832856e-05
feature_97,3.689445617027097e-05
feature_44,3.642972870404286e-05
feature_99,2.9163565297228527e-05
feature_91,2.8550371880035747e-05
feature_43,2.786279882597337e-05
feature_40,2.6800588654029246e-05
feature_5,2.4503374926208002e-05
feature_90,2.439227927334759e-05
feature_81,2.3984967263226156e-05
feature_36,2.3503307713423564e-05
feature_83,2.2308777294070774e-05
feature_88,2.210786147409744e-05
feature_82,2.070523469889121e-05
feature_89,2.05953723602033e-05
feature_85,1.9121642460254835e-05
feature_48,1.855943515968266e-05
feature_35,1.8114056367725035e-05
feature_21,1.5390695425691842e-05
feature_32,1.384925158251396e-05
feature_2,1.3543658554335575e-05
feature_17,1.2601427266129736e-05
feature_68,9.159135042040489e-06
feature_18,6.045566504668933e-06
feature_71,4.788394219598977e-06
feature_37,3.3474998305376323e-06
feature_70,1.4210475913967079e-06
feature_108,0.0
feature_107,0.0
feature_114,0.0
feature_101,0.0
feature_100,0.0
feature_94,0.0
feature_93,0.0
feature_87,0.0
feature_86,0.0
feature_115,0.0
