Feature,Importance
feature_28,0.09771380869409374
feature_80,0.09656263478185306
feature_59,0.09349122274119191
feature_79,0.08973283071186494
feature_13,0.06335069773245108
feature_15,0.05774101370562569
feature_63,0.05170138702274381
feature_78,0.0481016689187058
feature_109,0.04493119647506619
feature_61,0.025758683025179075
feature_27,0.02070590349615007
feature_54,0.019846315820277207
feature_12,0.019223754966593457
feature_30,0.01831442751041446
feature_47,0.01754341970458884
feature_29,0.01681853514098237
feature_56,0.01600143920570299
feature_14,0.015266559944509593
feature_112,0.014836933548940924
feature_62,0.014823219965089991
feature_60,0.013555883065292334
feature_49,0.011555166464091165
feature_110,0.008997312138194088
feature_6,0.008202079114061525
feature_40,0.008196222072983393
feature_42,0.008160027965747179
feature_53,0.007733286604239173
feature_8,0.007241285681219475
feature_65,0.0071504999750103635
feature_55,0.006785602696293621
feature_111,0.0066494263150158025
feature_64,0.005930977726510863
feature_113,0.005658639208285634
feature_26,0.0041983816426743835
feature_9,0.0041941965871030345
feature_11,0.004002074036394879
feature_41,0.0037992182583537534
feature_24,0.003277490268266481
feature_77,0.003010068019082992
feature_21,0.002769913685693533
feature_3,0.0023878098299752594
feature_76,0.0021308106940718346
feature_5,0.0017403622252077557
feature_25,0.0016307547032238991
feature_57,0.0015784822465563818
feature_46,0.001274550067146269
feature_23,0.0010546170975610596
feature_20,0.0010238069900632405
feature_2,0.0010138985593811257
feature_103,0.0009550932187041462
feature_105,0.0008303955868811084
feature_19,0.0008030251074762679
feature_52,0.0007878069973779931
feature_58,0.0007440569151398799
feature_7,0.000723561625760543
feature_48,0.0006776815966718486
feature_104,0.0006689138334850665
feature_106,0.0005448415132106224
feature_102,0.0005301993202819675
feature_10,0.00047446704440672776
feature_75,0.00045105516519369955
feature_33,0.000409341203573622
feature_1,0.00033574974939223575
feature_35,0.0003171131291579237
feature_37,0.0003030584183803694
feature_39,0.00028694712400641686
feature_17,0.0002390377386314064
feature_34,0.00023754634844397248
feature_66,0.00020956356492977458
feature_38,0.00019818232856607824
feature_72,0.00018803347580735109
feature_22,0.00017211658388921144
feature_4,0.00015169603307204079
feature_73,0.0001383806880947184
feature_45,0.0001269190737114401
feature_51,9.795998317376805e-05
feature_95,9.649897999197668e-05
feature_68,9.069411295964757e-05
feature_98,8.545451639568268e-05
feature_96,8.332954848344616e-05
feature_88,7.52102106991915e-05
feature_82,5.982380870902981e-05
feature_91,4.479579000322548e-05
feature_50,4.32038906702044e-05
feature_16,3.932112776682533e-05
feature_67,3.7633474472565e-05
feature_89,3.500229257267539e-05
feature_31,3.228766580490152e-05
feature_32,3.0271553373839727e-05
feature_43,3.019360792285074e-05
feature_97,2.7003999226104127e-05
feature_69,2.2657787387245597e-05
feature_71,2.2095068498897673e-05
feature_90,2.171332105633446e-05
feature_99,2.1063601683369054e-05
feature_81,2.0881631070963585e-05
feature_18,2.016765042482047e-05
feature_92,1.7883687837830873e-05
feature_44,1.588257855066772e-05
feature_84,1.5414296140423743e-05
feature_83,1.1556033359154105e-05
feature_85,1.0774223337749979e-05
feature_36,9.03244876666839e-06
feature_74,8.354836721958407e-06
feature_70,4.7831996691623e-07
feature_108,7.951899888737283e-08
feature_107,0.0
feature_100,0.0
feature_101,0.0
feature_114,0.0
feature_94,0.0
feature_93,0.0
feature_87,0.0
feature_86,0.0
feature_115,0.0
