Feature,Importance
feature_80,0.10375037794734528
feature_13,0.10309276974300537
feature_28,0.07461137248337275
feature_78,0.06352756973588024
feature_109,0.06330153122355205
feature_59,0.05936716576011093
feature_15,0.057527989790188375
feature_79,0.056364106824732356
feature_63,0.04974626943271435
feature_61,0.022800965092355064
feature_27,0.021550207918212827
feature_29,0.020836064602201047
feature_12,0.020764037588160925
feature_54,0.01996516229476382
feature_30,0.019924781669495364
feature_56,0.017522255214021176
feature_47,0.017202513309860126
feature_14,0.016793995976559242
feature_60,0.01609301092528072
feature_62,0.014366145425778831
feature_112,0.013507187537360335
feature_49,0.01193603979281058
feature_110,0.009823162803387941
feature_40,0.00824627425463289
feature_6,0.008222637857639114
feature_42,0.008144538975355584
feature_8,0.0073576316269261515
feature_55,0.007311369626609512
feature_53,0.007215170972619519
feature_64,0.006496159220343985
feature_77,0.005865351468853236
feature_113,0.005524676762341525
feature_26,0.005349546255713315
feature_65,0.004773192718403163
feature_9,0.004434782046503483
feature_111,0.004369200003242563
feature_11,0.004260065936315914
feature_76,0.00360722537759736
feature_41,0.003284349229665507
feature_24,0.0031424086781932296
feature_21,0.0027554653223192224
feature_3,0.002379117007326283
feature_58,0.0015806781854604648
feature_75,0.0015222151255839763
feature_57,0.0014985216636778783
feature_5,0.0014465894006737605
feature_52,0.001223093611554032
feature_102,0.0012124974290435753
feature_16,0.001122976549188704
feature_25,0.001111903593713473
feature_23,0.001008715407249646
feature_10,0.000975474642289822
feature_106,0.0009735700827573071
feature_1,0.0009546177115636051
feature_20,0.0008455357436054034
feature_22,0.000714790014025377
feature_104,0.0005603261929749738
feature_103,0.0005117327769084423
feature_33,0.0004092134903410856
feature_105,0.00039953444443088944
feature_46,0.00039130365820647063
feature_34,0.00037909648712466443
feature_19,0.00035850830356640346
feature_4,0.00030398148415962346
feature_74,0.0002823274076699724
feature_48,0.00026602139053626535
feature_2,0.00022201419577871684
feature_35,0.00020084350763492395
feature_45,0.00018666484665353573
feature_7,0.00018168019631269636
feature_38,0.0001607306427322492
feature_72,0.0001145986679518424
feature_66,0.00010476200524041986
feature_73,8.811730893676217e-05
feature_69,8.326067949661781e-05
feature_71,8.17562921738571e-05
feature_51,7.8465163655241e-05
feature_95,7.669085853946718e-05
feature_99,7.575150019591453e-05
feature_17,7.363527366487251e-05
feature_31,7.143136796502397e-05
feature_70,7.096743537276403e-05
feature_88,6.57185313634024e-05
feature_67,6.542170723852073e-05
feature_96,6.185908992448461e-05
feature_39,5.829592963557454e-05
feature_68,5.79905623910115e-05
feature_97,5.742467784722796e-05
feature_18,5.705529903589612e-05
feature_50,5.0922557661656244e-05
feature_84,4.3910201249116647e-05
feature_98,4.3775011146341235e-05
feature_43,4.169366318240837e-05
feature_82,3.876117553046411e-05
feature_91,3.729939541251745e-05
feature_90,3.70508962641066e-05
feature_81,3.659250031094372e-05
feature_92,3.4626059477867927e-05
feature_32,2.878784499546282e-05
feature_37,2.748749535676709e-05
feature_85,2.6900569430778632e-05
feature_89,2.6270437676495806e-05
feature_36,2.342635803193905e-05
feature_44,2.1982089465909762e-05
feature_83,1.830677700933394e-05
feature_101,0.0
feature_100,0.0
feature_94,0.0
feature_93,0.0
feature_87,0.0
feature_107,0.0
feature_114,0.0
feature_108,0.0
feature_86,0.0
feature_115,0.0
