Feature,Importance
feature_59,0.09858814939914567
feature_79,0.08964799461479409
feature_78,0.08942361333037091
feature_28,0.08918406863749619
feature_13,0.08141477093559213
feature_15,0.0692068904821583
feature_80,0.046887630581800184
feature_63,0.042219388843659375
feature_109,0.041104054147064736
feature_27,0.026739205642824383
feature_49,0.0227314104080136
feature_54,0.021113225972868816
feature_29,0.020714752256003388
feature_61,0.020073448385017515
feature_60,0.019407940374357988
feature_112,0.01932254178262452
feature_30,0.018469538997750928
feature_62,0.01326881938330548
feature_53,0.012795438315095366
feature_55,0.012575907304447112
feature_8,0.012532337283745575
feature_14,0.012087908871098181
feature_12,0.010424921036347722
feature_56,0.009168072654332535
feature_24,0.0072671900807252535
feature_11,0.007227046443522921
feature_9,0.0065494449755493095
feature_65,0.005854006088162765
feature_47,0.005759456101220693
feature_21,0.005505545346962368
feature_40,0.0054646193009427226
feature_6,0.005464323977548137
feature_42,0.005448661512947954
feature_41,0.005237730415613134
feature_110,0.003966342191843404
feature_64,0.0038112984826259404
feature_58,0.0027593241998816404
feature_77,0.002556749140104855
feature_113,0.0023612472016890204
feature_25,0.0022113772550327146
feature_26,0.0020331828824003153
feature_19,0.0019068308495126581
feature_111,0.001778564845041433
feature_76,0.001432960061603051
feature_57,0.0012658227691751196
feature_5,0.0011906609445540553
feature_10,0.0009911140375849746
feature_33,0.0009735191761490155
feature_23,0.0009050763628721495
feature_75,0.0008946779228015734
feature_52,0.0008684145656408144
feature_104,0.0008124416119883915
feature_106,0.0007948245531250065
feature_31,0.000615794968125412
feature_22,0.0005861316925139957
feature_105,0.0005555799688941064
feature_4,0.0005391620010093613
feature_46,0.0004829936623530785
feature_48,0.0004746658321717494
feature_17,0.0004745558177302633
feature_34,0.00046868436891494506
feature_2,0.0004322771326218164
feature_35,0.000382482370681749
feature_102,0.0002941086115445276
feature_73,0.00025650737996327927
feature_103,0.00020968764305633356
feature_32,0.0002077758061330003
feature_72,0.00013310969469265446
feature_45,0.00013235311858857942
feature_7,0.00012487239758488778
feature_70,0.00011522907925500531
feature_69,0.00011184345678661849
feature_96,0.00010744452373023309
feature_51,0.00010581584314385914
feature_95,8.509921282709122e-05
feature_68,6.733174334660668e-05
feature_50,5.991259309478637e-05
feature_67,5.216397684391357e-05
feature_1,4.71241728610495e-05
feature_89,4.531445296593901e-05
feature_91,4.243391360343322e-05
feature_39,3.8210141783910515e-05
feature_97,3.728830572689749e-05
feature_38,3.435942155802287e-05
feature_66,3.267772717788209e-05
feature_98,3.162747424122677e-05
feature_88,2.3374329207287746e-05
feature_3,2.269589893750525e-05
feature_82,2.2316161228865553e-05
feature_44,1.911903791957764e-05
feature_20,1.816842222499014e-05
feature_99,1.705531566662388e-05
feature_18,1.6206541556533098e-05
feature_37,1.407008086038287e-05
feature_84,1.2090262065152132e-05
feature_71,7.709746443255168e-06
feature_74,7.186250376667637e-06
feature_81,7.029639596843865e-06
feature_83,6.768895742526129e-06
feature_43,5.541552846099301e-06
feature_16,5.424058424212085e-06
feature_92,5.082387013655504e-06
feature_36,4.165491762965062e-06
feature_85,3.929413857930114e-06
feature_90,2.9650720065341878e-06
feature_93,0.0
feature_94,0.0
feature_87,0.0
feature_86,0.0
feature_100,0.0
feature_101,0.0
feature_107,0.0
feature_114,0.0
feature_108,0.0
feature_115,0.0
