Feature,Importance
feature_109,0.16091394532136064
feature_78,0.1505941691152719
feature_28,0.08751298567240114
feature_13,0.0857107514488946
feature_59,0.07560493884070041
feature_80,0.057765793490402166
feature_65,0.05241260137203218
feature_79,0.04291859565067319
feature_64,0.03669861981618934
feature_15,0.03297794232071652
feature_29,0.020525143724241354
feature_63,0.015639143241946905
feature_110,0.013161271777102725
feature_14,0.011744311886173777
feature_53,0.011276872765640959
feature_60,0.010977483529973806
feature_61,0.0107072790071523
feature_11,0.009823727519279225
feature_112,0.008670342681666868
feature_62,0.008262294341743229
feature_58,0.006438375043558246
feature_56,0.006363491255610957
feature_4,0.0059679298167854946
feature_72,0.005755789756238893
feature_54,0.0057268453764251865
feature_102,0.0053198569534158744
feature_30,0.005043118285653431
feature_52,0.004414578000875019
feature_8,0.00402850848671816
feature_113,0.003918664915747597
feature_77,0.0037660534131163798
feature_26,0.003361392461311883
feature_25,0.0033352224601658157
feature_49,0.0026894249102810287
feature_57,0.00255424739193531
feature_12,0.0025465837366961067
feature_23,0.002399765409707719
feature_24,0.002229883868994416
feature_111,0.0020302815554490584
feature_10,0.0018660321418031932
feature_75,0.0014570212205947807
feature_55,0.001337822816443194
feature_27,0.0011513306141059227
feature_76,0.00110251424368338
feature_106,0.0010642006690648289
feature_20,0.0008907916631068502
feature_16,0.0008874028294594646
feature_19,0.0008691072294536734
feature_39,0.0008154146128796013
feature_17,0.0007389134396381802
feature_45,0.0006925937866589444
feature_96,0.0005826923497612194
feature_90,0.0005349131711172059
feature_99,0.000533631222223341
feature_50,0.0004802629384575086
feature_91,0.0004232073743493327
feature_97,0.00037917103009442514
feature_82,0.0003767094645115628
feature_104,0.0002335791550370818
feature_115,0.00023303669981617967
feature_103,0.00022034430687413776
feature_40,0.00018724931157724364
feature_105,0.00012792789464269108
feature_7,9.473766528502593e-05
feature_51,8.81301090266647e-05
feature_48,6.493224917681881e-05
feature_41,6.350544680475195e-05
feature_34,4.6487345546609634e-05
feature_43,4.335108997174692e-05
feature_81,3.958853927043965e-05
feature_46,3.907693034880472e-05
feature_44,3.588218327782095e-05
feature_2,3.279284959337868e-05
feature_37,3.060689537036272e-05
feature_22,3.034865998169248e-05
feature_9,2.8991312185328553e-05
feature_42,2.8933739959008247e-05
feature_18,2.803095356245052e-05
feature_38,2.621424958583663e-05
feature_95,2.3951010146841424e-05
feature_66,2.29767332744882e-05
feature_98,2.2956985096808788e-05
feature_3,2.1682124485374432e-05
feature_5,2.1617861671489762e-05
feature_47,1.9579174242507446e-05
feature_21,1.8960877548054685e-05
feature_84,1.7639750973742693e-05
feature_31,1.594620365582906e-05
feature_32,1.5297884320973914e-05
feature_89,1.3743880848790304e-05
feature_108,1.206235238144682e-05
feature_35,1.0879107492762665e-05
feature_88,1.0874972124144833e-05
feature_92,1.0520109082264323e-05
feature_6,9.895367211516993e-06
feature_36,8.936090510248195e-06
feature_33,5.660135453123731e-06
feature_69,4.6689452231663485e-06
feature_85,3.780798891093859e-06
feature_83,3.4673803239785856e-06
feature_1,2.6945177569448473e-06
feature_73,1.6314736719320148e-06
feature_68,1.490146219237365e-06
feature_74,1.0476863807751934e-06
feature_101,7.03320842015664e-07
feature_70,5.731669953096641e-07
feature_94,5.333186521780176e-07
feature_67,3.7348572535372064e-07
feature_71,1.0270865485950925e-07
feature_87,4.5403592363925194e-08
feature_100,0.0
feature_93,0.0
feature_86,0.0
feature_107,0.0
feature_114,0.0
