Feature,Importance
feature_109,0.1666623299941503
feature_78,0.15689671659573548
feature_59,0.12800404830490728
feature_28,0.0941307960873948
feature_13,0.06566850766892769
feature_79,0.05216966133724515
feature_64,0.04635458622634125
feature_65,0.04420127071219112
feature_80,0.02409705308696049
feature_63,0.022541590746159218
feature_14,0.019708652700693427
feature_112,0.015835048859190022
feature_60,0.014706078223485774
feature_113,0.013376915550787485
feature_55,0.011732319092195334
feature_15,0.011232369497112982
feature_54,0.009060219851343917
feature_61,0.008828293600412299
feature_23,0.007808580095439221
feature_53,0.006937247464829467
feature_75,0.006498273475808326
feature_77,0.0063872174675990755
feature_58,0.006274943139426617
feature_62,0.006119881923015857
feature_102,0.005544471044947303
feature_52,0.005499233401046822
feature_110,0.005225960894330424
feature_56,0.004618117880189572
feature_29,0.0042747827412548765
feature_8,0.003717727210738784
feature_30,0.0033121927934964754
feature_25,0.003302773092957131
feature_69,0.0021178717680474368
feature_72,0.0015344334923979954
feature_106,0.0015200765544911886
feature_20,0.0014461475733490814
feature_16,0.0014396104601088141
feature_24,0.001437409760127082
feature_95,0.0013300055598216424
feature_4,0.0012960907262416232
feature_115,0.0008159964298851621
feature_57,0.000748962407362847
feature_12,0.0006760551526165249
feature_111,0.0006419851189240675
feature_50,0.0006327836970368424
feature_99,0.0006160137712790339
feature_26,0.0003979589152806123
feature_48,0.0003486603203022044
feature_27,0.0003349933306034685
feature_104,0.0002512592619120517
feature_76,0.00015908122617584895
feature_10,0.00015341995220731708
feature_103,0.00012860244843044974
feature_105,8.636502776400498e-05
feature_7,8.017122860242914e-05
feature_51,7.732791993179675e-05
feature_44,7.71178810350011e-05
feature_47,6.712273958000855e-05
feature_43,5.3572292439969384e-05
feature_92,5.3272507418117134e-05
feature_49,5.2696480372498654e-05
feature_45,4.3401571215598076e-05
feature_11,4.0306922838184935e-05
feature_9,3.801365650281384e-05
feature_34,3.750243352646196e-05
feature_36,3.642499227016826e-05
feature_89,3.3634322503737844e-05
feature_33,3.3187528980426146e-05
feature_98,3.200084449164307e-05
feature_96,2.9748874903043077e-05
feature_39,2.8139250272243992e-05
feature_3,2.6079005339111998e-05
feature_5,2.28742169203451e-05
feature_32,2.0750207693061415e-05
feature_42,1.866233708038165e-05
feature_46,1.8486882214475788e-05
feature_17,1.725139035691513e-05
feature_22,1.7004241621073408e-05
feature_37,1.4758198787877276e-05
feature_41,1.4456811874352965e-05
feature_19,1.4094474454140346e-05
feature_2,1.2278685511311315e-05
feature_108,1.221137995096046e-05
feature_88,1.16229984973397e-05
feature_81,1.1353138981441662e-05
feature_21,1.1345807181001354e-05
feature_6,1.0758638130122798e-05
feature_35,1.0501347552770778e-05
feature_18,1.0369130747599522e-05
feature_82,9.200204545436429e-06
feature_85,8.771047325291302e-06
feature_1,8.241245679039034e-06
feature_101,5.873981082340426e-06
feature_66,5.213225969048798e-06
feature_38,4.993926334689849e-06
feature_90,4.772762748023226e-06
feature_40,4.231594796339384e-06
feature_91,3.420423212766817e-06
feature_71,2.778744039812466e-06
feature_97,2.3220602705306575e-06
feature_83,2.160089636830084e-06
feature_70,1.43451743596803e-06
feature_31,1.4258778570632355e-06
feature_68,1.2479861893714927e-06
feature_67,1.1723584652333055e-06
feature_73,7.277753682731393e-07
feature_84,7.087186618522331e-07
feature_107,4.0854768553099183e-07
feature_94,3.026250468058444e-07
feature_74,2.5367050113093916e-07
feature_87,1.9456269108109042e-07
feature_86,0.0
feature_114,0.0
feature_93,0.0
feature_100,0.0
