Feature,Importance
feature_80,0.10192113234267175
feature_28,0.0968470708857151
feature_79,0.08984760950882545
feature_13,0.08059085321241882
feature_15,0.0646148258588385
feature_59,0.057419361555021066
feature_78,0.05544669525285319
feature_109,0.05454485123978934
feature_63,0.04082573294299009
feature_27,0.02674026750911299
feature_61,0.02510409897891959
feature_30,0.02364036606482079
feature_49,0.022699169541719983
feature_54,0.02080186790154749
feature_112,0.018066218827405642
feature_60,0.015758919864011598
feature_62,0.015457326361257314
feature_53,0.01397375427183361
feature_8,0.013560225370226204
feature_29,0.013559895019532265
feature_55,0.0113482993378179
feature_14,0.010287051424905614
feature_64,0.009382624874926202
feature_12,0.008878534699011358
feature_56,0.008494773556134493
feature_11,0.006884165843648654
feature_9,0.006507325036298247
feature_41,0.006432311451798781
feature_24,0.006372898206787283
feature_110,0.006294985694168631
feature_47,0.005698479621256446
feature_21,0.005521296019617697
feature_40,0.0054743409223900535
feature_6,0.0054669945463396204
feature_42,0.00546410190475879
feature_65,0.005391125627406942
feature_111,0.004643673962501203
feature_113,0.00431076765980365
feature_76,0.002460440558542563
feature_26,0.002441797665404714
feature_5,0.0022305237154239665
feature_25,0.0020428789365780175
feature_23,0.0018311608499024543
feature_20,0.0013754885811308958
feature_58,0.0010222530571013283
feature_57,0.0010198784835726501
feature_77,0.0009957378455854732
feature_19,0.0009861772472073485
feature_103,0.0009566040208850666
feature_48,0.0007566551203280607
feature_75,0.0006800167404766069
feature_37,0.000557408629310788
feature_46,0.0005558193217721344
feature_105,0.0005035521964228195
feature_52,0.0004631758190371183
feature_10,0.0004414203003608929
feature_104,0.00042706802409969453
feature_33,0.0004073082851602462
feature_35,0.0004068584208900193
feature_2,0.00033118587887691824
feature_102,0.00023422842723424224
feature_106,0.00023039108677503267
feature_1,0.00021560392154507644
feature_7,0.00021110579010004052
feature_22,0.0001897929455002844
feature_4,0.0001802450343646732
feature_72,0.00015128952026662252
feature_95,0.00012400423636452776
feature_88,0.00011657825166505768
feature_38,0.00011193739641846028
feature_51,8.467951824065168e-05
feature_98,7.954810579035719e-05
feature_82,7.380807079747594e-05
feature_96,7.324441285778799e-05
feature_91,7.311187691130751e-05
feature_45,6.719260987444549e-05
feature_39,5.6771472688479866e-05
feature_16,5.084238274111233e-05
feature_32,4.785646725676253e-05
feature_71,4.419013699779535e-05
feature_31,4.410620941402002e-05
feature_50,3.60767260943262e-05
feature_43,3.0255086020174007e-05
feature_81,2.9123800402946452e-05
feature_69,2.8370772766024495e-05
feature_92,2.7463061469475476e-05
feature_18,2.1934794633158764e-05
feature_97,2.1688082160120822e-05
feature_3,1.9295633730166743e-05
feature_83,1.913518364666612e-05
feature_44,1.7709464296180495e-05
feature_99,1.5993431190136623e-05
feature_17,1.5168620400377487e-05
feature_66,1.4480059364777934e-05
feature_89,1.2790349323779771e-05
feature_67,1.2720285451786703e-05
feature_68,1.0076850630560052e-05
feature_34,9.125564050678069e-06
feature_36,7.801972966484125e-06
feature_90,6.739943597337658e-06
feature_74,6.3664085586997e-06
feature_84,5.033592606366871e-06
feature_85,2.0774508066898864e-06
feature_73,1.8572126477993266e-06
feature_70,7.851822290147776e-07
feature_107,0.0
feature_108,0.0
feature_101,0.0
feature_114,0.0
feature_86,0.0
feature_100,0.0
feature_94,0.0
feature_93,0.0
feature_87,0.0
feature_115,0.0
