Feature,Importance
feature_13,0.14780450805572556
feature_80,0.11965847801064383
feature_78,0.07823978089898369
feature_59,0.067057205512796
feature_109,0.06500222237344584
feature_15,0.060537362041595814
feature_79,0.056551811318648545
feature_63,0.03705568441697408
feature_27,0.02667925837057329
feature_28,0.023504063131237818
feature_60,0.022760790459619096
feature_49,0.022600457848966606
feature_30,0.019832967283860525
feature_54,0.019780387111985112
feature_61,0.01760292953430128
feature_8,0.013858150715257169
feature_29,0.013572904483272542
feature_62,0.013326878216899844
feature_53,0.012932026790010832
feature_112,0.0124845536234659
feature_14,0.011435453553805068
feature_55,0.011140277808959579
feature_12,0.01014872868270439
feature_56,0.008512164501806361
feature_9,0.00741627619590073
feature_113,0.006727287060048945
feature_11,0.0066494971961814095
feature_24,0.006165943578763054
feature_6,0.005869683096942089
feature_47,0.005846046238797782
feature_40,0.005822149739623236
feature_21,0.005450918339329779
feature_42,0.005419642633956197
feature_41,0.0053042155421429565
feature_110,0.0047864448482846005
feature_65,0.0038996990286144745
feature_25,0.0033855999267628717
feature_64,0.00335683039785635
feature_111,0.002731796671864002
feature_76,0.0026964326420556386
feature_58,0.002274805457258123
feature_26,0.0021016133963883904
feature_52,0.00194467086754353
feature_5,0.0016992621927547867
feature_23,0.0015147581323374279
feature_10,0.001406051672999749
feature_104,0.0013504998751928765
feature_2,0.001316690536088561
feature_102,0.0010671883415300312
feature_48,0.0009293413371855764
feature_77,0.0009123093454298768
feature_57,0.0008941310346601766
feature_46,0.0007118463434677521
feature_105,0.0007099812413396902
feature_106,0.000681357322616549
feature_4,0.0005580012763135231
feature_45,0.0005163575720241758
feature_17,0.0005037519242042878
feature_20,0.0004922584119335773
feature_33,0.00043980144949329596
feature_35,0.0004282421891654679
feature_34,0.000416574521424484
feature_103,0.00041613692403595214
feature_16,0.0003942311219730534
feature_72,0.0003311967548855748
feature_95,0.0002619401684582418
feature_22,0.00023820258484835388
feature_96,0.0001626897072530356
feature_71,0.00015673515461373614
feature_69,0.00015362972561576408
feature_39,0.00012515764784844122
feature_66,0.0001201719636444488
feature_19,0.00011763152688388029
feature_98,9.773519145886298e-05
feature_73,8.13109651256945e-05
feature_75,8.082730762463341e-05
feature_7,7.153794425696888e-05
feature_97,7.09135084623703e-05
feature_74,6.965391164939152e-05
feature_83,4.9305205323827286e-05
feature_32,4.9135124562914e-05
feature_50,3.582080985203345e-05
feature_37,3.4527611960779655e-05
feature_44,3.450075140752061e-05
feature_31,3.1937709143150705e-05
feature_88,3.0810508068869526e-05
feature_38,2.6395610937668674e-05
feature_85,2.5756211427277286e-05
feature_51,2.503096828578078e-05
feature_82,2.425390377275516e-05
feature_84,2.127115647556947e-05
feature_91,2.121098043210055e-05
feature_92,1.9229318791516485e-05
feature_43,1.768178359725103e-05
feature_90,1.584571827943545e-05
feature_81,1.3555884851308452e-05
feature_36,1.3460623652002208e-05
feature_68,1.2684231556611012e-05
feature_99,1.25389268753957e-05
feature_89,1.2169227060212773e-05
feature_18,1.1703952298433111e-05
feature_1,1.0572484804950113e-05
feature_67,8.437645824568277e-06
feature_70,7.213775438570241e-06
feature_3,6.596789636313678e-06
feature_94,1.6486530300996827e-06
feature_114,0.0
feature_86,0.0
feature_87,0.0
feature_93,0.0
feature_100,0.0
feature_101,0.0
feature_107,0.0
feature_108,0.0
feature_115,0.0
